"","reference","ID_reference"
"1","aleixandre_review_2012",1
"2","Alvarado et al. 2015",2
"3","AQ-SPEC",3
"4","Austin et al. 2015",4
"5","Badura et al. 2018",5
"6","barrett_coefficient_1974",6
"7","Bettair 2017",7
"8","Bigi et al. 2018",8
"9","Borghi et al. 2018",9
"10","Borrego et al. 2016",10
"11","Budde et al. 2018",11
"12","Castell et all. 2017",12
"13","Cavaliere et at. 2018",13
"14","cen_ambient_2012_CO",14
"15","cen_ambient_2012_NO2",15
"16","cen_ambient_2012_O3",16
"17","cen_ambient_2012_SO2",17
"18","cen_ambient_2014_PM",18
"19","Chakrabarti et al. 2004",19
"20","Cordero et al. 2018",20
"21","Crilley et al. 2018",21
"22","Cross et al. 2017",22
"23","Dacunto et al. 2015",23
"24","Duvall at al. 2016",24
"25","Feinberg et al. 2018",25
"26","Gao et al. 2015",26
"27","Gerboles et al. 2015(a)",27
"28","Gerboles et al. 2019",28
"29","Gillooly et al. 2019",29
"30","Han et al,.2016",30
"31","Holstius et al 2014",31
"32","iscape_summary_2017",32
"33","Jiao et al. 2016",33
"34","Jovasevic_Stojanovic et al 2015",34
"35","Karagulian et al. 2012",35
"36","Kelly et al 2017",36
"37","key-vocs_metrology_2017",37
"38","kumar_rise_2015",38
"39","Kunak field report 2017",39
"40","Laquai_particle_2017",40
"41","LCSQA DRC_18_174307_09689A",41
"42","lewis_low-cost_2018",42
"43","lewis_validate_2016",43
"44","Lin et al. 2015",44
"45","Liu et al, 2019",45
"46","Manikonda et al. 2016",46
"47","Marjovi et al. 2017",47
"48","Mead et al. 2013",48
"49","Mijling et al. 2017",49
"50","Mueller et al. 2017",50
"51","Mukherjee_et_al_2017",51
"52","Northcross et al. 2013",52
"53","Olivares and Edwards, 2015",53
"54","Piedrahita et al. 2014",54
"55","Pillarisetti et al 2017",55
"56","Popoola et al. 2016",56
"57","snyder_changing_2013",57
"58","Sousan et al 2016",58
"59","Sousan et al. 2016 (a)",59
"60","Spinelle et al. 2015 (a)",60
"61","Spinelle et al. 2016",61
"62","Spinelle et at. 2015 Part A (b)",62
"63","Spinelle et at. 2015 Part B",63
"64","Spinelle et at. 2017 Part B",64
"65","Spinelle_et_al_2013",65
"66","Spinelle_et_al_2013(a)",66
"67","spinelle_evaluation_2017",67
"68","Steinle et al. 2015",68
"69","Sun et al. 2016",69
"70","Sun et al. 2017",70
"71","the_world_air_quality_index_sensing_2019",71
"72","US-EPA_2015",72
"73","Vaughn D et al. 2010 (Sonoma Technology)",73
"74","Viana et al. 2015",74
"75","Wang et al. 2015",75
"76","Wei et al. 2018",76
"77","white_sensors_2012",77
"78","Williams et al.  2014(b)",78
"79","Williams et al.  2014(c)",79
"80","williams_air_2014",80
"81","Zheng et al. 2018",81
"82","Zikova et al. 2017",82
"83","Zimmerman_et_al_2018",83
