"","ref_lib"
"V79"," @aleixandre_review_2012"
"V41"," @alvarado_towards_2015"
"V3"," @aq-spec_air_2015"
"V43"," @austin_laboratory_2015"
"V54"," @badura_optical_2018"
"V74"," @barrett_coefficient_1974"
"V60"," @bettair_bettair_2017"
"V63"," @bigi_performance_2018"
"V20"," @borghi_precision_2018"
"V9"," @borrego_assessment_2016"
"V53"," @budde_suitability_2018"
"V23"," @castell_can_2017"
"V22"," @cavaliere_development_2018"
"V67"," @cen_ambient_2012_CO"
"V68"," @cen_ambient_2012_NO2"
"V69"," @cen_ambient_2012_O3"
"V70"," @cen_ambient_2012_SO2"
"V71"," @cen_ambient_2014_PM"
"V51"," @chakrabarti_performance_2004"
"V39"," @cordero_using_2018"
"V8"," @crilley_evaluation_2018"
"V38"," @cross_use_2017"
"V83"," @crunaire_1er_2018"
"V19"," @dacunto_determining_2015"
"V86"," @di_antonio_developing_2018"
"V34"," @duvall_performance_2016"
"V5"," @feinberg_long-term_2018"
"V44"," @gao_distributed_2015"
"V50"," @gerboles_airsenseur_2015"
"V57"," @gerboles_calibration_2019"
"V56"," @gillooly_development_2019"
"V17"," @han_feasibility_2017"
"V15"," @holstius_field_2014"
"V77"," @iscape_summary_2017"
"V11"," @jiao_community_2016"
"V18"," @jovasevic-stojanovic_use_2015"
"V32"," @karagulian_evaluation_2012"
"V45"," @kelly_ambient_2017"
"V72"," @key-vocs_metrology_2017"
"V65"," @kumar_rise_2015"
"V59"," @kunak_wireless_2017"
"V52"," @laquai_particle_2017"
"V73"," @lewis_low-cost_2018"
"V66"," @lewis_validate_2016"
"V31"," @lin_evaluation_2015"
"V76"," @liu_performance_2019"
"V12"," @manikonda_laboratory_2016"
"V62"," @marjovi_extending_2017"
"V36"," @mead_use_2013"
"V35"," @mijling_practical_2017"
"V40"," @mueller_design_2017"
"V6"," @mukherjee_assessing_2017"
"V14"," @northcross_low-cost_2013"
"V42"," @olivares_outdoor_2015"
"V48"," @piedrahita_next_2014"
"V55"," @pillarisetti_small_2017"
"V61"," @popoola_development_2016"
"V78"," @snyder_changing_2013"
"V7"," @sousan_evaluation_2016"
"V13"," @sousan_inter-comparison_2016"
"V58"," @spinelle_evaluation_2016"
"V64"," @spinelle_evaluation_2017"
"V25"," @spinelle_field_2015"
"V26"," @spinelle_field_nodate"
"V24"," @spinelle_performance_2015"
"V1"," @spinelle_report_2013"
"V2"," @spinelle_report_2013-1"
"V16"," @steinle_personal_2015"
"V21"," @sun_development_2016"
"V30"," @sun_development_2017"
"V75"," @the_world_air_quality_index_sensing_2019"
"V10"," @united_states_environmental_protection_agency_evaluation_2015"
"V29"," @vaughn_characterization_2010"
"V47"," @viana_field_2015"
"V37"," @wang_laboratory_2015"
"V85"," @wastine_airsenseur_2019"
"V84"," @wastine_essai_2019"
"V49"," @wei_impact_2018"
"V80"," @white_sensors_2012"
"V82"," @williams_air_2014"
"V4"," @williams_evaluation_2014"
"V27"," @williams_sensor_2014"
"V33"," @zheng_field_2018"
"V81"," @zhou_recent_2015"
"V46"," @zikova_estimating_2017"
"V28"," @zimmerman_machine_2018"
