"","reference","ID_reference"
"1","aleixandre_review_2012",1
"2","Alvarado et al. 2015",2
"3","AQ-SPEC",3
"4","Austin et al. 2015",4
"5","Badura et al. 2018",5
"6","barrett_coefficient_1974",6
"7","Bettair 2017",7
"8","Bigi et al. 2018",8
"9","Borghi et al. 2018",9
"10","Borrego et al. 2016",10
"11","Budde et al. 2018",11
"12","Castell et all. 2017",12
"13","Cavaliere et at. 2018",13
"14","cen_ambient_2012_CO",14
"15","cen_ambient_2012_NO2",15
"16","cen_ambient_2012_O3",16
"17","cen_ambient_2012_SO2",17
"18","cen_ambient_2014_PM",18
"19","Chakrabarti et al. 2004",19
"20","Cordero et al. 2018",20
"21","Crilley et al. 2018",21
"22","Cross et al. 2017",22
"23","Dacunto et al. 2015",23
"24","de_vito_calibrating_2018",24
"25","Di-Antonio_developing_2018",25
"26","directive_2008_50_ec",26
"27","Duvall at al. 2016",27
"28","esposito_dynamic_2016",28
"29","european_commission_guide_2010",29
"30","Feinberg et al. 2018",30
"31","fishbain_evaluation_2017",31
"32","Gao et al. 2015",32
"33","Gerboles et al. 2015(a)",33
"34","Gillooly et al. 2019",34
"35","Han et al,.2016",35
"36","Holstius et al 2014",36
"37","iscape_summary_2017",37
"38","Jiao et al. 2016",38
"39","Jovasevic_Stojanovic et al 2015",39
"40","Karagulian et al. 2012",40
"41","Karagulian et al. 2019",41
"42","Kelly et al 2017",42
"43","key-vocs_metrology_2017",43
"44","kumar_rise_2015",44
"45","Kunak field report 2017",45
"46","Laquai_particle_2017",46
"47","LCSQA DRC_18_174307_09689A",47
"48","lewis_low-cost_2018",48
"49","lewis_validate_2016",49
"50","Lin et al. 2015",50
"51","Liu et al, 2019",51
"52","Manikonda et al. 2016",52
"53","Marjovi et al. 2017",53
"54","Mead et al. 2013",54
"55","Mijling et al. 2017",55
"56","Mueller et al. 2017",56
"57","Mukherjee_et_al_2017",57
"58","Northcross et al. 2013",58
"59","Olivares and Edwards, 2015",59
"60","Piedrahita et al. 2014",60
"61","Pillarisetti et al 2017",61
"62","Popoola et al. 2016",62
"63","snyder_changing_2013",63
"64","Sousan et al 2016",64
"65","Sousan et al. 2016 (a)",65
"66","Spinelle et al. 2015 (a)",66
"67","Spinelle et al. 2016",67
"68","Spinelle et at. 2015 Part A (b)",68
"69","Spinelle et at. 2017 Part B",69
"70","Spinelle_et_al_2013",70
"71","Spinelle_et_al_2013(a)",71
"72","spinelle_evaluation_2017",72
"73","Steinle et al. 2015",73
"74","Sun et al. 2016",74
"75","Sun et al. 2017",75
"76","the_world_air_quality_index_sensing_2019",76
"77","thunis_performance_2012",77
"78","US-EPA_2015",78
"79","Vaughn D et al. 2010 (Sonoma Technology)",79
"80","Viana et al. 2015",80
"81","Wang et al. 2015",81
"82","Wastine_2019_a",82
"83","Wastine_2019_b",83
"84","Wei et al. 2018",84
"85","white_sensors_2012",85
"86","Williams et al.  2014(b)",86
"87","Williams et al.  2014(c)",87
"88","williams_air_2014",88
"89","williams_deliberating_2019",89
"90","Zheng et al. 2018",90
"91","Zikova et al. 2017",91
"92","Zimmerman_et_al_2018",92
